R000237/S002950/P025075	بر اساس یک گزارش پزشکی تعداد بیماران ایدز در هند هر چهارده ماه دو برابر می‌شود	B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N E | AH E Y D Z | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | D O | B A R AA B A R | M I SH A V A D	SIL | B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N | AH E Y D Z | SIL | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | SIL | D O | B A R AA B A R | SIL | M I SH A V A D
R000237/S002950/P025086	مردم دسته دسته می‌آمدند و بر بدن پیامبر نماز می‌خواندند	M A R D O M | D A S T E | D A S T E | M I AH AA M A D A N D | V A | B A R | B A D A N E | P A Y AA M B A R | N A M AA Z | M I KH AA N D A N D	SIL | M A R D O M | D A S T E | D A S T E | M I AH AA M A D A N D | V AA V | B A R | SIL | B A D A N E | P A Y AA M B A R | N A M AA Z | M I KH AA N D A N D | SIL
R000237/S002950/P025087	شش نمایش صحنه را کار کردم	SH E SH | N A M AA Y E SH E | S A H N E | R AA | K AA R | K A R D A M	SIL | SH E SH | SIL | N A M AA Y E SH E | S A H N E | SIL | R AA | K AA R | K A R D A M | SIL
R000237/S002950/P025088	ائتلاف مزبور جمعاً با به دست آوردن شصت کرسی موقعیت خود را در پارلمان مصر مستحکم کرد	AH E AH T E L AA F E | M A Z B U R | J A M AH A N | B AA | B E | D A S T | AH AA V A R D A N E | SH A S T | K O R S I | M O Q E AH I Y Y A T E | KH O D | R AA | D A R | P AA R L E M AA N E | M E S R | M O S T A H K A M | K A R D	SIL | AH E AH T E L AA F E | M A Z B U R | J A M AH A N | B AA | B E | D A S T | AH AA V A R D A N E | SH A S T | K O R S I | M O Q E AH I Y Y A T E | KH O D | R AA | D A R | P AA R L E M AA N E | M E S R | SIL | M O S T A H K A M | K A R D | SIL
R000237/S002950/P025089	شایان ذکر است که هم‌زمان با اهدای جوایز مسابقات فوتبال سال هفتاد و نه بخش گلستان نیز آغاز شد	SH AA Y AA N E | Z E K R | AH A S T | K E | H A M Z A M AA N | B AA | AH E H D AA Y E | J A V AA Y E Z | M O S AA B E Q AA T E | F U T B AA L E | S AA L E | H A F T AA D | V A | N O H | B A KH SH E | G O L E S T AA N | N I Z | AH AA Q AA Z | SH O D	SIL | SH AA Y AA N E | SIL | Z E K R | AH A S T | K E H | SIL | H A M Z A M AA N | SIL | B AA | AH E H D AA Y E | J A V AA Y E Z | SIL | M O S AA B E Q AA T E | F U T B AA L E | S AA L E | H A F T AA D | V E | N O | SIL | B A KH SH E | G O L E S T AA N | N I Z | AH AA Q AA Z | SH O D | SIL
R000237/S002950/P025090	دست راست منتهی به تپه‌ها می‌شود به فاصله کم	D A S T E | R AA S T | M O N T A H I | B E | T A P P E H AA | M I SH A V A D | B E | F AA S E L E Y E | K A M	SIL | D A S T E | R AA S T | SIL | M O N T A H I | B E | T A P P E H AA | M I SH A V A D | B E | F AA S E L E Y E | K A M | SIL
R000237/S002951/P025091	ثانیاً با چه میزان آگاهی و هوشیاری در عرصه سازمان تجارت جهانی حضور داشته باشند تا بتوانند مانور بدهند و منافع خودشان را به حداکثر برسانند و کمترین تأثیر و ضرر را بپذیرند	S AA N I Y A N | B AA | CH E | M I Z AA N | AH AA G AA H I | V A | H U SH Y AA R I | D A R | AH A R S E Y E | S AA Z M AA N E | T E J AA R A T E | J A H AA N I | H O Z U R | D AA SH T E | B AA SH A N D | T AA | B E T A V AA N A N D | M AA N O V R | B E D A H A N D | V A | M A N AA F E AH E | KH O D E SH AA N | R AA | B E | H A D D E AH A K S A R | B E R A S AA N A N D | V A | K A M T A R I N | T A AH S I R | V A | Z A R A R | R AA | B E P A Z I R A N D	SIL | S AA N I Y A N | B AA | CH E | M I Z AA N E | AH AA G AA H I | V A | H O SH Y AA R I | D A R | AH A R S E Y E | S AA Z M AA N E | T E J AA R A T E | J A H AA N I | H O Z U R | D AA SH T E | B AA SH A N D | SIL | T AA | B E T A V AA N A N D | M AA N O V R | B E D A H A N D | SIL | V A | M A N AA F E AH E | SIL | KH O D E SH AA N | R AA | B E | H A D D E AH A K S A R | B E R E S AA N A N D | SIL | V A | K A M T A R I N | T A AH S I R | V A | Z A R A R E | R AA | SIL | B E P A Z I R A N D | SIL
R000237/S002951/P025092	امید است با همت دولتمردان هرچه زودتر این فناوری به کشور وارد شده و انبوه جوانان تحصیل‌کرده و علاقه‌مند را به آن مسیر هدایت کنیم	AH O M I D | AH A S T | B AA | H E M M A T E | D O L A T M A R D AA N | H A R CH E | Z U D T A R | AH I N | F A N N AA V A R I | B E | K E SH V A R | V AA R E D | SH O D E | V A | AH A N B U H E | J A V AA N AA N E | T A H S I L K A R D E | V A | AH A L AA Q E M A N D | R AA | B E | AH AA N | M A S I R | H E D AA Y A T | K O N I M	SIL | AH O M I D | AH A S T | B AA | H E M M A T E | D O L A T M A R D AA N | H A R CH E | Z U D T A R | AH I N | F A N AA V A R I | B E | K E SH V A R | V AA R E D | SH O D E | SIL | V A | AH A N B U H E | J A V AA N AA N E | T A H S I L K A R D E | V A | AH A L AA Q E M A N D | R AA | SIL | B E | AH AA N | M A S I R | H E D AA Y A T | K O N I M | SIL
R000237/S002951/P025093	چرا چون که اگر جسم داشته باشد و مکان نمی‌تواند با همه چیز نزدیک باشد	CH E R AA | CH O N | K E | AH A G A R | J E S M | D AA SH T E | B AA SH A D | V A | M A K AA N | N E M I T A V AA N A D | B AA | H A M E | CH I Z | N A Z D I K | B AA SH A D	SIL | CH E R AA | SIL | CH U N | K E | AH A G A R | J E S M | D AA SH T E | B AA SH A D | SIL | V A | M A K AA N | N E M I T A V AA N A D | B AA | H A M E | CH I Z | SIL | N A Z D I K | B AA SH A D | SIL
R000237/S002951/P025094	گفته می‌شود که در این ناآرامی‌ها همچنین خسارات فراوانی به چند تانک در شهر خلخال وارد شده است	G O F T E | M I SH A V A D | K E | D A R | AH I N | N AA AH AA R AA M I H AA | H A M CH E N I N | KH E S AA R AA T E | F A R AA V AA N I | B E | CH A N D | T AA N K | D A R | SH A H R E | KH A L KH AA L | V AA R E D | SH O D E | AH A S T	SIL | G O F T E | M I SH A V A D | K E | D A R | AH I N | N AA AH AA R AA M I H AA | H A M CH E N I N | KH E S AA R AA T E | F A R AA V AA N I | B E | CH A N D | T AA N K | SIL | D A R | SH A H R E | KH A L KH AA L | V AA R E D | SH O D E | AH A S T
R000237/S002951/P025095	آیزنهاور گفت وی شرمنده پذیرائیهای شگفت‌آوری است که در آسیا از او به عمل آورده‌اند	AH AA Y Z E N H AA V E R | G O F T | V E Y | SH A R M A N D E Y E | P A Z I R AA AH I H AA Y E | SH E G E F T AA V A R I | AH A S T | K E | D A R | AH AA S I Y AA | AH A Z | AH U | B E | AH A M A L | AH AA V A R D E AH A N D	SIL | AH AA Y Z E N H AA V E R | G O F T | SIL | V E Y | SH A R M A N D E Y E | P A Z I R AA AH I H AA Y E | SH E G E F T AA V A R I | AH A S T | K E | SIL | D A R | AH AA S I Y AA | AH A Z | AH U | B E | AH A M A L | AH AA V A R D E AH A N D | SIL
R000237/S002951/P025096	یا بسیار سبک از آب درمی‌آیند و یا بشدت خشک و تخصصی	Y AA | B E S I Y AA R | S A B O K | AH A Z | AH AA B | D A R M I AH AA Y A N D | V A | Y AA | B E SH E D D A T | KH O SH K | V A | T A KH A S S O S I	SIL | Y AA | B E S Y AA R | S A B O K E | AH A Z | AH AA B | D A R M I AH AA Y A N D | SIL | V A | Y AA | B E SH E D D A T | KH O SH K E | V E | SIL | T A KH A S S O S I | SIL
R000237/S002951/P025097	همچنین مؤلفان دیگر نیز از دواوین و کلیات شعرا به اندازه احمد گلچین دقیقاً مطالعه نکرده‌اند	H A M CH E N I N | M O AH A L L E F AA N E | D I G A R | N I Z | AH A Z | D A V AA V I N | V A | K O L L I Y AA T E | SH O AH A R AA | B E | AH A N D AA Z E Y E | AH A H M A D E | G O L CH I N | D A Q I Q A N | M O T AA L E AH E | N A K A R D E AH A N D	SIL | H A M CH E N I N | M O AH A L L E F AA N E | D I G A R | N I Z | AH A Z | SIL | D A V AA V I N | V A | K O L L I Y AA T E | SH O AH A R AA | B E H | SIL | AH A N D AA Z E Y E | AH A H M A D E | G O L CH I N | D A Q I Q A N | M O T AA L E AH E | N A K A R D E AH A N D | SIL
R000237/S002951/P025098	این موشک بار اول در برابر اهداف هوایی مورد آزمایش قرار گرفت و در آزمایش‌های بعدی علیه اهداف مشابه دریایی مورد آزمایش قرار گرفت	AH I N | M U SH A K | B AA R E | AH A V V A L | D A R | B A R AA B A R E | AH A H D AA F E | H A V AA Y I | M O R E D E | AH AA Z M AA Y E SH | Q A R AA R | G E R E F T | V A | D A R | AH AA Z M AA Y E SH H AA Y E | B A AH D I | AH A L A Y H E | AH A H D AA F E | M O SH AA B E H E | D A R Y AA Y I | M O R E D E | AH AA Z M AA Y E SH | Q A R AA R | G E R E F T	SIL | AH I N | M U SH A K | B AA R | AH A V V A L | SIL | D A R | B A R AA B A R E | AH A H D AA F E | H A V AA Y I | SIL | M O R E D E | SIL | AH AA Z M AA Y E SH | Q A R AA R | G E R E F T | SIL | V A | D A R | AH AA Z M AA Y E SH H AA Y E | B A AH D I | AH A L A Y H E | AH A H D AA F E | M O SH AA B E H E | D A R Y AA Y I | SIL | M O R E D E | AH AA Z M AA Y E SH | Q A R AA R | G E R E F T
R000237/S002951/P025099	به‌هرحال موضوع مهم این است که وضعیت حقوق بشر در رومانی نسبت به حکومت گذشته به طور مشهود و ریشه‌ای بهبود یافته است	B E H A R H AA L | M O Z U AH E | M O H E M M | AH I N | AH A S T | K E | V A Z AH I Y Y A T E | H O Q U Q E | B A SH A R | D A R | R O M AA N I | N E S B A T | B E | H O K U M A T E | G O Z A SH T E | B E | T O R E | M A SH H U D | V A | R I SH E AH I | B E H B U D | Y AA F T E | AH A S T	SIL | B E H A R H AA L | SIL | M O Z U AH E | M O H E M M | AH I N | AH A S T | K E H | V A Z AH I Y Y A T E | H O Q U Q E | B A SH A R E | SIL | D A R | R O M AA N I | SIL | N E S B A T | B E | H O K U M A T E | G O Z A SH T E | B E | T O R E | M A SH H U D | V A | R I SH E AH I | SIL | B E H B U D | Y AA F T E | AH A S T
R000237/S002951/P025100	جورج تو خود را متعجب خواهی کرد	J O R J | T O | KH O D | R AA | M O T E AH A J J E B | KH AA H I | K A R D	SIL | J O R J | SIL | T O | KH O D E | R AA | M O T E AH A J J E B | KH AA H I | K A R D | SIL
R000237/S002951/P025101	ترتیب گوش کردن پاسخ‌گویان به برنامه‌های محلی صدا در تابستان هفتاد و هشت و هفتاد و نه تفاوتی ندارد	T A R T I B E | G U SH | K A R D A N E | P AA S O KH G U Y AA N | B E | B A R N AA M E H AA Y E | M A H A L L I Y E | S E D AA | D A R | T AA B E S T AA N E | H A F T AA D | V A | H A SH T | V A | H A F T AA D | V A | N O H | T A F AA V O T I | N A D AA R A D	SIL | T A R T I B E | G U SH | K A R D A N E | P AA S O KH G U Y AA N | B E | B A R N AA M E H AA Y E | M A H A L L I | S E D AA | D A R | T AA B E S T AA N E | H A F T AA D | V E | H A SH T | SIL | V A | H A F T AA D | V E | N O | SIL | T A F AA V O T I | N A D AA R A D | SIL
R000237/S002951/P025102	در مورد نوع فعالیت در وقت آزاد در طول هفته و تعطیل آخر هفته با فهرستی از سی و دو قلم که به صورت تصادفی تنظیم و به پاسخ‌گو ارائه شده سؤال شد	D A R | M O R E D E | N O AH E | F A AH AH AA L I Y Y A T | D A R | V A Q T E | AH AA Z AA D | D A R | T U L E | H A F T E | V A | T A AH T I L E | AH AA KH A R E | H A F T E | B AA | F E H R E S T I | AH A Z | S I | V A | D O | Q A L A M | K E | B E | S U R A T E | T A S AA D O F I | T A N Z I M | V A | B E | P AA S O KH G U | AH E R AA AH E | SH O D E | S O AH AA L | SH O D	D A R | M O R E D E | N O AH E | F A AH AH AA L I Y Y A T | D A R | V A Q T E | AH AA Z AA D | D A R | T U L E | H A F T E | SIL | V A | T A AH T I L | AH AA KH A R E | H A F T E | B AA | F E H R E S T I | AH A Z | S I | V E | SIL | D O | Q A L A M | SIL | K E H | B E | S U R A T E | T A S AA D O F I | T A N Z I M | SIL | V A | SIL | B E | SIL | P AA S O KH G U | AH E R AA AH E | SH O D E | SIL | S O AH AA L | SH O D | SIL
R000237/S002951/P025103	هندی‌ها تمایلی به محدودیت تعداد فرزندان ندارند	H E N D I H AA | T A M AA Y O L I | B E | M A H D U D I Y Y A T E | T E AH D AA D E | F A R Z A N D AA N | N A D AA R A N D	SIL | H E N D I H AA | T A M AA Y O L I | B E | M A H D U D I Y Y A T E | T E AH D AA D E | F A R Z A N D AA N | SIL | N A D AA R A N D | SIL
R000237/S002951/P025104	ققنوس سر خود را از این سو به آن سو تکان می‌داد	Q O Q N U S | S A R E | KH O D | R AA | AH A Z | AH I N | S U | B E | AH AA N | S U | T E K AA N | M I D AA D	SIL | Q O Q N U S | S A R E | KH O D | R AA | AH A Z | AH I N | S U | B E | AH AA N | S U | T A K AA N | M I D AA D | SIL
R000237/S002951/P025105	پژوهشگران ژاپنی قصد دارند که از سال آینده کار کشت این نوع ساقه برنج را در خارج از آزمایشگاه آغاز کنند	P A ZH U H E SH G A R AA N E | ZH AA P O N I | Q A S D | D AA R A N D | K E | AH A Z | S AA L E | AH AA Y A N D E | K AA R E | K E SH T E | AH I N | N O AH | S AA Q E Y E | B E R E N J | R AA | D A R | KH AA R E J | AH A Z | AH AA Z M AA Y E SH G AA H | AH AA Q AA Z | K O N A N D	SIL | P A ZH U H E SH G A R AA N E | ZH AA P O N I | SIL | Q A S D | D AA R A N D | SIL | K E H | AH A Z | S AA L | AH AA Y A N D E | SIL | K AA R E | K E SH T E | AH I N | N O AH | S AA Q E Y E | B E R E N J | R AA | SIL | D A R | KH AA R E J E | AH A Z | AH AA Z M AA Y E SH G AA H | SIL | AH AA Q AA Z | K O N A N D
R000237/S002951/P025106	در این مسابقه اعضای سفارت جمهوری اسلامی ایران در بلگراد به همراهی خانواده‌های خود و تنی چند از دانشجویان ایرانی مقیم بلگراد تیم استقلال را مورد تشویق خود قرار دادند	D A R | AH I N | M O S AA B E Q E | AH A AH Z AA Y E | S E F AA R A T E | J O M H U R I Y E | AH E S L AA M I Y E | AH I R AA N | D A R | B E L G E R AA D | B E | H A M R AA H I Y E | KH AA N E V AA D E H AA Y E | KH O D | V A | T A N I | CH A N D | AH A Z | D AA N E SH J U Y AA N E | AH I R AA N I Y E | M O Q I M E | B E L G E R AA D | T I M E | AH E S T E Q L AA L | R AA | M O R E D E | T A SH V I Q E | KH O D | Q A R AA R | D AA D A N D	SIL | D A R | AH I N | M O S AA B E Q E | AH A AH Z AA Y E | S E F AA R A T E | J O M H U R I | AH E S L AA M I | AH I R AA N | SIL | D A R | B E L G E R AA D | SIL | B E | H A M R AA H I Y E | SIL | KH AA N E V AA D E H AA Y E | KH O D | SIL | V A | T A N I | CH A N D | AH A Z | SIL | D AA N E SH J U Y AA N | AH I R AA N I | M O Q I M E | B E L G E R AA D | SIL | T I M E | SIL | AH E S T E Q L AA L | R AA | SIL | M O R E D E | SIL | T A SH V I Q E | KH O D | Q A R AA R | D AA D A N D | SIL
R000237/S002952/P025107	او آدم بسیار درست حرفه‌ای و قابل اعتمادی است	AH U | AH AA D A M E | B E S I Y AA R | D O R O S T | H E R F E AH I | V A | Q AA B E L E | AH E AH T E M AA D I | AH A S T	SIL | AH U | AH AA D A M E | B E S Y AA R | D O R O S T | H E R F E AH I | V A | Q AA B E L E | AH E AH T E M AA D I | AH A S T | SIL
R000237/S002952/P025108	طرح احتمالی دیگر نیز سوزاندن این تسلیحات تحت نظارت مستقیم رئیس کمیسیون بین‌المللی خلع سلاح ایرلند شمالی خواهد بود	T A R H E | AH E H T E M AA L I Y E | D I G A R | N I Z | S U Z AA N D A N E | AH I N | T A S L I H AA T | T A H T E | N E Z AA R A T E | M O S T A Q I M E | R A AH I S E | K O M I S I Y U N E | B E Y N O L M E L A L I Y E | KH A L AH E | S E L AA H E | AH I R L A N D E | SH O M AA L I | KH AA H A D | B U D	SIL | T A R H E | AH E H T E M AA L I Y E | D I G A R | N I Z | S U Z AA N D A N E | AH I N | T A S L I H AA T E | SIL | T A H T E | SIL | N E Z AA R A T E | M O S T A Q I M E | R A AH I S E | K O M I S I Y O N E | B E Y N O L M E L A L I | KH A L AH E | S E L AA H E | AH I R L A N D E | SH O M AA L I | KH AA H A D | B U D | SIL
R000237/S002952/P025109	فردین کشتی‌گیر اسبق تیم ملی ایران پنجشنبه شب گذشته بر اثر عارضه سکته قلبی درگذشت	F A R D I N | K O SH T I G I R E | AH A S B A Q E | T I M E | M E L L I | AH I R AA N | P A N J SH A N B E | SH A B E | G O Z A SH T E | B A R | AH A S A R E | AH AA R E Z E Y E | S E K T E Y E | Q A L B I | D A R G O Z A SH T	SIL | F A R D I N | SIL | K O SH T I G I R E | SIL | AH A S B A Q E | T I M E | M E L L I | AH I R AA N | SIL | P A N J SH A N B E | SH A B E | G O Z A SH T E | B A R | AH A S A R E | AH AA R E Z E Y E | S E K T E Y E | Q A L B I | D A R G O Z A SH T | SIL
R000237/S002952/P025110	در مورد نقش سوم باید گفت که تحقیق علمی و عمل اقتصادی معمولاً محرک یکدیگرند	D A R | M O R E D E | N A Q SH E | S E V V O M | B AA Y A D | G O F T | K E | T A H Q I Q E | AH E L M I | V A | AH A M A L | AH E Q T E S AA D I | M A AH M U L A N | M O H A R R E K E | Y E K D I G A R A N D	SIL | D A R | M O R E D E | N A Q SH E | S E V V O M | SIL | B AA Y A D | G O F T | K E | T A H Q I Q E | AH E L M I | V A | AH A M A L | AH E Q T E S AA D I | M A AH M U L A N | M O H A R R E K E | Y E K D I G A R A N D | SIL
